"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"22839","Hornburg (Lkr. Mansfeld Südharz)",11.589612,51.452133,""
"940214","Eutingen Rößlestaffel, Pforzheim",8.744778,48.909777,""
"996","Neuerstadt",13.122732,51.830723,""
"963","Linda (Elster), Bahnübergang",13.08717,51.852073,""
"940304","Illingen (Württ)",8.92014,48.95618,""
"940893","Vaihingen an der Enz",8.958632,48.946741,""
"998","Großkorga (b. Jessen)",13.083763,51.804466,""
"999","Kleinkorga (b. Jessen)",13.08166,51.815379,""
"958","Mönchenhöfe",13.0637,51.783611,""
"977","Schweinitz (Jessen), Dörfchen",13.037029,51.792007,""
"953","Dixförda (Jessen)",13.03497,51.808682,""
"962","Glücksburg (Jessen)",13.032507,51.868082,""
"997","Lindwerder",13.029235,51.82853,""
"954","Mügeln (Lkr. Wittenberg), Ortsmitte",13.028597,51.85281,""
"955","Mügeln (Lkr. Wittenberg), Sandberg",13.02492,51.858976,""
"949","Mark Zwuschen (Morxdorf)",12.963155,51.916094,""
"990","Arnsdorf (Jessen)",12.948943,51.822147,""
"987","Leipa",12.942606,51.834121,""
"950","Mark Friedersdorf (Naundorf), Ortsmitte",12.918991,51.923788,""
"951","Seyda, Schützenhaus",12.918946,51.883382,""
"948","Mellnitz",12.910164,51.90492,""
"988","Gentha",12.897813,51.85023,""
"994","Lüttchenseyda (Gentha)",12.893579,51.857196,""
"947","Naundorf (b. Seyda), Ortsmitte",12.890262,51.923591,""
"952","Schadewalde (Seyda)",12.890046,51.870788,""
"946","Meltendorf (Elster)",12.877659,51.854643,""
"941","Elster (Elbe), Stützpunkt",12.831598,51.833717,""
"989","Schützberg",12.825989,51.789121,""
"942","Elster (Elbe), Sekundarschule",12.820559,51.82826,""
"944","Elster (Elbe), Grundschule",12.815247,51.832224,""
"9480","Kropstädt, Feuerwehr",12.752745,51.965813,""
"9479","Kropstädt, Gemeinde",12.746039,51.964384,""
"9477","Kropstädt, Schäferei",12.736726,51.956743,""
"9472","Jahmo (Kropstädt), Abzweig",12.723368,51.943655,""
"9473","Köpnick (Kropstädt), Abzweig",12.711655,51.933964,""
"9474","Köpnick (Kropstädt), Gasthaus",12.709417,51.939313,""
"9475","Köpnick (Kropstädt), Weg",12.706558,51.942837,""
"9501","Boßdorf, Kirche",12.680777,51.989536,""
"9450","Mochau (Lkr. Wittenberg), Ort",12.676103,51.930063,""
"9449","Mochau (Lkr. Wittenberg), Sportplatz",12.673154,51.925326,""
"9451","Mochau (Lkr. Wittenberg), Siedlung",12.66955,51.929829,""
"9481","Berkau (Straach), Weddiner Weg",12.650879,51.971153,""
"9489","Grabo (b. Nudersdorf)",12.645854,51.948734,""
"966908","Zugspitze Bahnhof Zugspitzplatt, Garmisch-Partenki",10.985412,47.414278,""
"966907","Riffelriß, Grainau",10.987335,47.435537,""
"966906","Eibsee Zugspitzbahn, Grainau",10.995695,47.455727,""
"966905","Zugspitzbahnhof, Grainau",11.024919,47.471908,""
"966904","Hammersbach Zugspitzbahn, Grainau",11.046592,47.46602,""
"966903","Kreuzeck/Alpspitzbahn Bahnhof, Garmisch-Partenkirc",11.062934,47.472105,""
"966902","Hausberg, Garmisch-Partenkirchen",11.092006,47.483378,""
"9482","Berkau (Straach), Ort",12.640281,51.968312,""
"996844","Obersuhl Bürgermeisteramt, Wildeck",10.031485,50.949897,""
"9452","Schmilkendorf",12.630177,51.92564,""
"9495","Nudersdorf, Gasthaus",12.602023,51.930234,""
"9490","Nudersdorf, Ortsschild",12.600836,51.938935,""
"9487","Straach, Alte Mühle",12.600422,51.942756,""
"9486","Straach, Wittenberger Str.",12.597186,51.952985,""
"9484","Straach, Kirche",12.594526,51.953884,""
"9492","Nudersdorf, Schule",12.593366,51.927402,""
"9441","Zörnigall, Brücke",12.731234,51.883688,""
"9442","Abtsdorf (Lu. Wittenberg)",12.725283,51.88802,""
"9423","Wiesigk (Wittenberg)",12.711403,51.878573,""
"9422","Lu. Wittenberg, Labetz, Zahnaer Str.",12.703816,51.876074,""
"9443","Euper (Abtsdorf)",12.703771,51.90101,""
"9419","Lu. Wittenberg, Luthersbrunnen",12.701749,51.865799,""
"9421","Lu. Wittenberg, Labetz, Feuerwehr",12.696481,51.873781,""
"9439","Lu. Wittenberg, Wendel",12.695286,51.870788,""
"9420","Lu. Wittenberg, Elbperle",12.692346,51.865368,""
"9447","Karlsfeld (Abtsdorf)",12.692229,51.915473,""
"9438","Lu. Wittenberg, Berufsschulzentrum Mittelfeld",12.689029,51.866536,""
"9446","Karlsfeld (Abtsdorf), Süd",12.686503,51.910386,""
"9418","Lu. Wittenberg, Finanzamt",12.684678,51.864127,""
"9444","Lu. Wittenberg, Nordendstr.",12.683761,51.88882,""
"9414","Lu. Wittenberg, Mittelfeld",12.67675,51.866455,""
"9445","Lu. Wittenberg, Trajuhn",12.673109,51.898268,""
"9415","Lu. Wittenberg, Specke",12.672561,51.871193,""
"96301","Rosperwenda",11.024748,51.466211,""
"9413","Lu. Wittenberg, Mühlenbau",12.672076,51.863884,""
"9431","Lu. Wittenberg, Johannes-Runge-Weg",12.668363,51.886052,""
"9416","Lu. Wittenberg, Friedrichstr.",12.666098,51.875319,""
"9417","Lu. Wittenberg, Glöcknerstr.",12.666026,51.877314,""
"9412","Lu. Wittenberg, Friedhof",12.665064,51.86392,""
"9434","Lu. Wittenberg, Hauptbahnhof (Bus)",12.662304,51.868873,""
"9428","Lu. Wittenberg, Schillerstr.",12.659518,51.876092,""
"9504","Lu. Wittenberg, Mauerstr.",12.646429,51.868208,""
"9404","Lu. Wittenberg, Altstadtbahnhof",12.641296,51.863956,""
"9440","Lu. Wittenberg, Arbeitsamt",12.639768,51.871112,""
"9406","Lu. Wittenberg, Klinik Bosse",12.631714,51.869458,""
"9411","Lu. Wittenberg, Wasserwerk",12.621619,51.892955,""
"9437","Lu. Wittenberg, Werkstatt für Behinderte",12.618257,51.870626,""
"9459","Lu. Wittenberg, Belziger Chaussee/Feldbinder",12.615165,51.898358,""
"9407","Lu. Wittenberg, Dobschützstr.",12.614859,51.873916,""
"9457","Reinsdorf (Lu. Wittenberg), Strandbad",12.611884,51.898205,""
"9455","Reinsdorf (Lu. Wittenberg), Dobien",12.611111,51.904147,""
"9456","Reinsdorf (Lu. Wittenberg), Schule",12.609016,51.899536,""
"9454","Reinsdorf (Lu. Wittenberg), Feldstr.",12.60809,51.909568,""
"9409","Lu. Wittenberg, Rothemark, Rote Landstr.",12.607542,51.878851,""
"9408","Lu. Wittenberg, Rothemark",12.603569,51.876937,""
"9433","Lu. Wittenberg, Bahnhof Piesteritz (Torhaus)",12.596962,51.870599,""
"9453","Braunsdorf (Wittenberg), Ortsmitte",12.594885,51.911545,""
"9448","Lu. Wittenberg, Apollensdorf, Am Heideberg",12.568034,51.88642,""
"9466","Lu. Wittenberg, Apollensdorf, Alte Dorfstr.",12.548627,51.876379,""
"9465","Lu. Wittenberg, Apollensdorf, Hubertusstr.",12.543359,51.873134,""
"9464","Lu. Wittenberg, Apollensdorf, Roßlauer Str.",12.537255,51.872532,""
"9463","Lu. Wittenberg, Apollensdorf, Abzweig Roßlauer Str",12.534846,51.877009,""
"965","Kremitz (Holzdorf)",13.10514,51.762243,""
"956","Meuselko (Löben)",13.094919,51.757119,""
"964","Waltersdorf (Löben)",13.083611,51.769453,""
"957","Löben",13.076383,51.765659,""
"980","Annaburg, Markt",13.046917,51.731311,""
"979","Annaburg, Mühlenstr.",13.043033,51.735779,""
"985","Annaburg, Bahnhof (Bus)",13.033307,51.728893,""
"983","Purzien, Abzweig",13.032318,51.762819,""
"984","Purzien, Ortsmitte",13.024803,51.763583,""
"972","Groß Naundorf, Kolonie",13.019401,51.705746,""
"982","Annaburg, Gertrudshof",13.009522,51.745721,""
"973","Groß Naundorf, Trift",13.005198,51.695525,""
"971","Bethau",12.998177,51.673529,""
"970","Groß Naundorf, Gemeindeverwaltung",12.99655,51.695633,""
"969","Labrun, Wendeplatz",12.965501,51.671066,""
"975","Plossig, Enigk",12.954822,51.70118,""
"976","Lebien",12.937869,51.721927,""
"966","Prettin, Drei Linden",12.934444,51.660962,""
"967","Prettin, Lindenstr.",12.924915,51.662032,""
"974","Prettin, Bahnhofstr.",12.918101,51.666769,""
"991","Rettig (Klöden)",12.864148,51.770289,""
"993","Klöden, Kindergarten",12.832389,51.758441,""
"992","Kietz (Schützberg)",12.82865,51.778918,""
"9436","Wittenberge, Bahnhof (Bus)",11.762169,53.000004,""
"96325","Salzwedel, Gewerbegebiet Nord",11.160369,52.860473,""
"9557","Genthin, Bebelstr.",12.157335,52.402635,""
"9560","Genthin, Friedenstr./Sonnenweg",12.151681,52.384252,""
"9553","Genthin, Gewerbegebiet Süd",12.139662,52.389358,""
"9554","Ziesar, Straßenmeisterei",12.259992,52.251526,""
"9565","Drewitz, Kulturhaus",12.165947,52.213493,""
"9558","Klein Lübars, Kirche",12.101198,52.171882,""
"9549","Reesen, Dorfstr.",11.938843,52.283411,""
"9562","Burg (b. Magdeburg), Clausewitz-Kaserne",11.914114,52.24642,""
"98","Uetz",11.846416,52.366381,""
"95","Mahlpfuhl",11.76999,52.430456,""
"96","Uchtdorf",11.746762,52.415157,""
"97","Schleuß",11.724999,52.514119,""
"9556","Burg (b. Magdeburg), Kolonie/Sportplatz",11.865464,52.278467,""
"99","Kehnert, Ortsmitte",11.859199,52.3422,""
"9563","Menz, Wendeplatz",11.760452,52.117272,""
"9543","Wörlitz, Bergstückenweg",12.416971,51.840638,""
"9526","Tornau (Rodleben), Am Pharmapark",12.215774,51.901783,""
"9529","Zerbst/Anhalt, Grüne Str.",12.070643,51.971656,""
"9525","Walternienburg, Hauptstr.",11.942403,51.963089,""
"9537","Gräfenhainichen, Mescheide",12.471967,51.72136,""
"9536","Strohwalde (Gräfenhainichen)",12.470124,51.741397,""
"9534","Schmerz (Gossa), Ortsmitte",12.463733,51.67201,""
"9530","Gräfenhainichen, Gewerbepark",12.431704,51.72581,""
"96305","Greppin, Bayer",12.297765,51.660369,""
"96319","Wolfen (Bitterfeld), Heinrich-Böll-Str.",12.242841,51.669394,""
"956369","Bitterfeld Bahnhof",12.31808,51.623423,""
"96318","Salzfurtkapelle, Verkehrshof",12.173255,51.69522,""
"9855","Gottgau Mühlenstr.",11.896217,51.6439,""
"9848","Gollma (Landsberg), Delitzscher Str.",12.169174,51.515813,""
"9893","Gütz Otto-Quandt-Str.",12.1476,51.532857,""
"96326","Zörbig, Thura Mark",12.134323,51.630309,""
"9694","Dammendorf, Zum Park",12.130835,51.576355,""
"9959","Hohenthurm, Alte Bahnhofstr.",12.09797,51.520811,""
"9961","Hohenthurm, Schule",12.095561,51.515076,""
"9766","Eismannsdorf, Zum Dorfplatz",12.09388,51.566126,""
"9957","Hohen, Dorfstr.",12.066922,51.566872,""
"9677","Braschwitz, Saarbrücker Str.",12.059578,51.517081,""
"9675","Braschwitz, Am alten Teich",12.057681,51.521782,""
"9671","Brachstedt, Alter Dorfplatz",12.051613,51.570306,""
"9992","Braschwitz, Zöberitzer Weg",12.051496,51.519597,""
"9672","Brachstedt Am Sportplatz",12.048125,51.569047,""
"9739","Drobitz, Petersberger Str.",11.992464,51.599718,""
"9891","Gutenberg, Ortsmitte",11.971744,51.546682,""
"9890","Gutenberg, Schule",11.96653,51.546349,""
"9737","Drehlitz, Ortsmitte",11.965649,51.603575,""
"9940","Halle (Saale), Angerstr.",11.956642,51.524128,""
"9802","Frößnitz (Petersberg), Köthener Str.",11.944192,51.586693,""
"9978","Kaltenmark, Hallesche Str.",11.943599,51.618092,""
"9586","Plötz, Abzweig",11.936075,51.637078,""
"9880","Grube Ferdinande",11.930429,51.542969,""
"9567","Wallwitz (Saalekreis), Grundschule",11.929917,51.578827,""
"9809","Löbejün, Gärtnerei Ackermann",11.927202,51.638866,""
"9584","Möderau, Abzweig",11.914087,51.560013,""
"9646","Beidersee (Morl), Bahnhofstr.",11.905233,51.565757,""
"9981","Morl, Kaolinwerk (Brachwitzer Str.)",11.894697,51.551123,""
"9566","Brachwitz, Am Schlossberg",11.888027,51.545136,""
"9572","Brachwitz, Am Burgwall",11.877744,51.538466,""
"9850","Görbitz, Kirche",11.876593,51.576625,""
"9546","Calbe (Saale), Stadtfeld",11.801848,51.932059,""
"9548","Plötzky, Schule",11.800113,52.053476,""
"95479","Beyendorf, Obere Siedlung",11.633138,52.057233,""
"96316","Nachterstedt, Hoymer Str.",11.333887,51.801185,""
"9519","Hoym, Nachterstedter Str.",11.321096,51.788447,""
"9692","Dalena, Edlauer Str.",11.844672,51.645752,""
"9836","Gimritz, Wettiner Landstr.",11.870768,51.566809,""
"9673","Brachwitz, Platz der Jugend",11.870175,51.537333,""
"9800","Friedrichschwerz, Coloniestr.",11.855091,51.549603,""
"9571","Schiepzig, Seepark Nelkenstr.",11.853356,51.525234,""
"9706","Deutleben",11.841652,51.59846,""
"9728","Domnitz (Saalekreis), L50",11.833912,51.62967,""
"9712","Döblitz, Am Saalebogen",11.83029,51.557361,""
"9648","Benkendorf (Salzmünde), Quillschinaer Str.",11.822334,51.515507,""
"9579","Köllme, Abzweig",11.81455,51.504568,""
"9843","Gödewitz, Pfützthaler Str.",11.802055,51.541226,""
"9735","Dößel, Hamstergasse",11.793937,51.615045,""
"9710","Dobis, Rothenburger Str.",11.767006,51.613643,""
"9670","Boltzenhöhe, Str. des Friedens",11.747589,51.519022,""
"9965","Höhnstedt, Am Landrain",11.742528,51.50446,""
"9797","Friedeburg (Saale), Siedlung",11.739229,51.61233,""
"95402","Höhnstedt, Hauptstr.",11.73833,51.502338,""
"9568","Beesenstedt (Salzatal), Kirchplatz",11.737197,51.57,""
"9520","Lu. Eisleben, Strohügel",11.589082,51.505808,""
"9516","Lu. Eisleben, Herner Str.",11.577801,51.512631,""
"95801","Hettstedt, Randsiedlung",11.502974,51.652701,""
"96315","Ermsleben, Welbslebener Str.",11.348387,51.729496,""
"9511","Lu. Eisleben, Stadtgraben",11.551543,51.525701,""
"96327","Hötensleben, Offlebener Str.",11.027238,52.119771,""
"954054","Bahnhof (Bus) , Wernigerode",10.79013,51.840494,""
"95405","Wernigerode, Neues Rathaus",10.782912,51.839308,""
"95404","Wernigerode, Heltauer Platz",10.782777,51.836494,""
"95406","Wernigerode, Seigerhüttenteich",10.782498,51.842292,""
"95403","Allrode, Rosenweg",10.974544,51.674482,""
"96313","Straßberg (Harz), Glasebach (Bus)",11.052462,51.617553,""
"96323","Leipzig, Melissenweg",12.354693,51.3876,""
"95480","Leipzig, Faradaystr.",12.348994,51.368794,""
"956668","Roßplatz, Leipzig",12.378623,51.335741,""
"9889","Markranstädt, Markt",12.220934,51.301564,""
"9894","Markranstädt, Schulstr. (Markt)",12.220844,51.302148,""
"9986","Quesitz (Markranstädt), Gasthof",12.19936,51.290858,""
"9569","Sietzsch, Poststr.",12.180024,51.490275,""
"9664","Beuditz (Kabelsketal), Am Dorfplatz",12.179026,51.420734,""
"9895","Maßlau",12.1781,51.370098,""
"9570","Sietzsch, Mittelstr.",12.173507,51.488189,""
"9769","Horburg",12.172626,51.365513,""
"9662","Beuditz (Kabelsketal), Rabutzer Weg",12.171664,51.420357,""
"9631","Bageritz (Landsberg), Bageritzer Ring",12.163843,51.480899,""
"9678","Ermlitz, An der Mühle",12.16209,51.390998,""
"9873","Großkugel, Beuditzer Weg",12.159115,51.418514,""
"9681","Ermlitz, Pestalozzistr.",12.156994,51.391097,""
"9875","Großkugel, Teich",12.148463,51.417912,""
"9657","Dölkau (Zweimen)",12.147519,51.360893,""
"9954","Oberthau",12.144094,51.387231,""
"9853","Gottenz, Thomas-Müntzer Str.",12.132624,51.450264,""
"9858","Gröbers, Gewerbegebiet",12.132318,51.444115,""
"9864","Gröbers, Schule",12.118448,51.428618,""
"9860","Gröbers, Sparkasse",12.118124,51.430011,""
"9856","Gröbers, Parkweg",12.117198,51.43793,""
"9741","Droysig (Reußen), Reußener Weg",12.10598,51.497592,""
"9834","Queis, Siemens/Gewerbegebiet",12.098348,51.475263,""
"9654","Bennewitz (Kabelsketal), An der Reichsbahn",12.097988,51.436798,""
"9652","Benndorf (Saalekreis), Am Teich",12.09557,51.4422,""
"9826","Halle (Saale), Hans-Dietrich-Genscher-Str.",12.095085,51.47893,""
"9832","Queis, Queiser Ring/Gewerbegebiet",12.092559,51.474031,""
"9829","Queis, Geltestr./Gewerbegebiet",12.089188,51.47306,""
"9976","Pritschöna",12.089089,51.391771,""
"9835","Queis, Priemitzstr./Gewerbegebiet",12.085601,51.476269,""
"9871","Raßnitz, Kieswerk",12.078266,51.393038,""
"9997","Kleinkugel, Teichstr.",12.068531,51.458336,""
"9717","Dölbau, Am Pfaffengraben",12.058724,51.466903,""
"9869","Lochau (b. Halle), Gröberssche Str.",12.056296,51.397344,""
"9885","Luppenau, Tragarth",12.053573,51.361864,""
"9868","Lochau (b. Halle), Abzweig Burgliebenau",12.048692,51.398288,""
"9872","Lochau (b. Halle), Sportplatz",12.045959,51.399915,""
"9639","Burgliebenau",12.044601,51.39116,""
"9883","Luppenau, Löpitz",12.043118,51.367158,""
"9884","Luppenau, Lössen",12.039262,51.372947,""
"9723","Döllnitz (b. Halle), Mafa",12.034273,51.415718,""
"9626","Schkopau, Am Königsborn",11.982558,51.391816,""
"9762","Merseburg, Freiimfelde, Hansastr.",11.979286,51.382566,""
"9781","Merseburg, Kaufland",11.978234,51.372084,""
"96312","Halle (Saale), Türkstr.",11.978063,51.467883,""
"96311","Halle (Saale), Lutherplatz",11.976643,51.467047,""
"9720","Merseburg, Gewerbegebiet Nord",11.973299,51.372696,""
"96310","Halle (Saale), Ellernstr.",11.972679,51.435378,""
"9799","Korbetha, Dorfstr.",11.963977,51.404212,""
"9793","Knapendorf",11.943266,51.372741,""
"9794","Knapendorf, Gartenanlage",11.942466,51.372867,""
"9963","Hohenweiden, Str. des Friedens",11.938358,51.421264,""
"9795","Knapendorf, Str. der Freundschaft",11.93718,51.375312,""
"9637","Bündorf (Knapendorf)",11.920586,51.372588,""
"9663","Dörstewitz (Knapendorf)",11.918087,51.39623,""
"9650","Benkendorf (Teutschenthal), Merseburger Str.",11.917045,51.4278,""
"9594","Angersdorf, Wilhelmshöhe",11.909188,51.46159,""
"963641","Angersdorf An der Feuerwache, Teutschenthal",11.907156,51.458579,""
"9590","Angersdorf, An der Feuerwache",11.907111,51.458624,""
"9968","Holleben, Ausbildungszentrum",11.906392,51.430829,""
"9913","Milzau, Abzweig",11.905413,51.375734,""
"9655","Delitz, Freiheitstr.",11.902869,51.417705,""
"9973","Holleben, Lutherplatz",11.902671,51.435854,""
"9593","Angersdorf, Siedlung",11.902051,51.452987,""
"9914","Milzau, Milzauer Str.",11.900936,51.376022,""
"9969","Holleben, Karl-Liebknecht-Str.",11.900846,51.445625,""
"96329","Gößnitz (Thür.), Bahnhof (Bus)",12.430131,50.893031,""
"9701","Delitz, Gartenstr.",11.900711,51.414936,""
"9653","Delitz am Berge, Gaststätte",11.900702,51.414945,""
"9592","Angersdorf, Mühlberg",11.899785,51.456574,""
"9971","Holleben, Mühlenstr.",11.899749,51.439135,""
"9628","Bad Lauchstädt, Zentrales Umspannwerk",11.888863,51.406163,""
"9789","Kleinlauchstädt (Bad Lauchstädt)",11.883677,51.383968,""
"9591","Angersdorf, Kali",11.881645,51.456224,""
"9640","Burgstaden",11.878957,51.368444,""
"9744","Günthersdorf (Leuna), IKEA",12.180357,51.3482,""
"9750","Günthersdorf (Leuna), Kötschlitz Abzweig",12.172275,51.347373,""
"9749","Günthersdorf (Leuna), Schäferei",12.171538,51.344622,""
"9801","Kötschlitz",12.169534,51.355149,""
"9748","Günthersdorf (Leuna), Sonnenweg",12.168536,51.33975,""
"9974","Pissen (Rodden)",12.151726,51.325206,""
"9932","Nempitz, Schulstr.",12.150746,51.289689,""
"9931","Nempitz",12.147591,51.288476,""
"9887","Lützen, Bad",12.140247,51.259908,""
"9727","Göhren (Zweimen), Abzweig",12.136759,51.352092,""
"9726","Göhren (Zweimen)",12.136148,51.355077,""
"9988","Rampitz",12.130395,51.302778,""
"9806","Kötzschau, Alte Leipziger Str.",12.127599,51.313061,""
"9805","Kötzschau, Bahnhof (Bus)",12.125432,51.306095,""
"9808","Kötzschau, Mühle",12.125001,51.310185,""
"9810","Kötzschau, Schule",12.124812,51.311308,""
"9685","Feldschlösschen (Tollwitz)",12.123428,51.28719,""
"9989","Rampitz (Kötzschau), Abzweig",12.122924,51.287559,""
"9780","Kauern (Tollwitz)",12.113225,51.280062,""
"9987","Ragwitz",12.110313,51.274965,""
"9660","Schladebach, Domäne",12.10767,51.315848,""
"9779","Kauern (Tollwitz), Am Johannisanger",12.10473,51.280377,""
"9608","Balditz (Bad Dürrenberg)",12.081736,51.290328,""
"9599","Bad Dürrenberg, Engelsschule",12.070616,51.293204,""
"9725","Goddula (Bad Dürrenberg)",12.066895,51.274336,""
"9972","Ostrau (Bad Dürrenberg), Abzweig",12.066409,51.310086,""
"9851","Lennewitz (Bad Dürrenberg)",12.065897,51.307182,""
"9697","Friedensdorf",12.06382,51.350483,""
"9698","Friedensdorf, Abzweig",12.060306,51.359365,""
"9816","Kreypau, Wüsteneutzscher Str.",12.045977,51.32944,""
"9818","Kreypau, Merseburger Str.",12.045734,51.328712,""
"9788","Kleinkorbetha",12.045455,51.255396,""
"9817","Kreypau, Abzweig",12.033383,51.357468,""
"9877","Lösau, Ort (Dehlitz)",12.027909,51.223843,""
"9859","Leuna, Rathaus",12.024088,51.323597,""
"9852","Leuna, Einsteinstr.",12.023809,51.326707,""
"9854","Leuna, Lindenplatz",12.00406,51.332442,""
"9900","Merseburg, Rischmühleninsel",12.002586,51.353827,""
"9899","Merseburg, Herdergymnasium",11.998073,51.351319,""
"9902","Merseburg, Lessingstr. bzw. Schwimmhalle",11.997561,51.342762,""
"9898","Merseburg, Hälterstr.",11.996932,51.358673,""
"9949","Merseburg, Nulandplatz",11.993884,51.351131,""
"9791","Merseburg, Gotthardstr.",11.993381,51.353971,""
"9722","Merseburg, Süd, Glückaufstr.",11.989596,51.332415,""
"9861","Leuna, Leuna 2000",11.985363,51.280565,""
"9897","Merseburg, Fliederweg",11.983753,51.349,""
"9896","Merseburg, Albrecht-Dürer-Str.",11.983061,51.354771,""
"9699","Merseburg, West, Kleeblatt",11.978854,51.35843,""
"9700","Merseburg, West, Gustav-Adolf-Str.",11.978432,51.351508,""
"9770","Merseburg, West, Ikarusstr.",11.977164,51.357171,""
"9977","Merseburg, West, Quantzstr.",11.974926,51.354627,""
"9812","Kötzschen, Kirche",11.971978,51.326419,""
"9615","Beuna (Geiseltal), Bahnhof (Bus)",11.961793,51.323543,""
"9907","Merseburg, Zentralfriedhof",11.960229,51.34224,""
"9596","Atzendorf (Geusa), Abzweig",11.956642,51.341314,""
"9616","Beuna (Geiseltal), Kindergarten",11.954988,51.322347,""
"9617","Beuna (Geiseltal), Volkshaus",11.949163,51.320819,""
"9716","Geusa",11.947158,51.339678,""
"9714","Geusa, Schule",11.940992,51.335795,""
"9713","Geusa, Dorfplatz",11.939482,51.337737,""
"9688","Frankleben, Kastanienstr.",11.936974,51.314257,""
"9736","Großkayna",11.934699,51.290894,""
"9622","Blösien, Bergmannsring",11.924613,51.33193,""
"9621","Blösien, Dorfplatz",11.919993,51.333053,""
"9629","Braunsbedra, Friedhof",11.899318,51.287145,""
"9935","Neumark Nord",11.888567,51.33406,""
"9633","Braunsbedra, Zentrum",11.887857,51.284889,""
"9630","Braunsbedra, Grundschule",11.884297,51.286085,""
"9632","Braunsbedra, Parksiedlung",11.881519,51.283667,""
